key,Bulk 1,Bulk 2,Bulk 3,Bulk 4,Bulk 5,Bulk 6,Bulk 7,Bulk 8,Bulk 9,Bulk 10,Bulk 11,Bulk 12,Bulk 13,Bulk 14,Bulk 15
37,,,2019-05-04 17:03:47,,,,,,,,,2019-05-04 16:57:40,,2019-05-04 16:53:16,2019-05-04 16:45:06
38,,,2019-05-04 17:42:47,,,,,,,,,2019-05-04 17:40:11,,2019-05-04 17:42:47,2019-05-04 17:40:11
39,,,,2019-05-04 18:23:57,,,,,,,,2019-05-04 18:23:57,,2019-05-04 18:14:28,2019-05-04 18:07:56
40,,,,2019-05-04 19:46:18,,,,,,,,2019-05-04 19:41:27,,2019-05-04 19:36:05,2019-05-04 19:30:20
43,,,2019-05-04 22:06:51,,,,,,,,,2019-05-04 22:02:58,,2019-05-04 21:59:55,2019-05-04 21:51:25
44,,,,,,2019-05-05 02:28:41,,,,,,2019-05-05 02:21:56,2019-05-05 02:10:21,2019-05-05 02:04:14,2019-05-05 01:52:02
45,,,,,,2019-05-05 03:51:16,,,,,,2019-05-05 03:47:12,,2019-05-05 03:43:07,2019-05-05 03:08:32
46,,,,,,2019-05-05 07:16:45,,,,,,2019-05-05 07:03:18,,2019-05-05 06:53:29,2019-05-05 06:45:30
47,,,,,,2019-05-05 07:34:21,,,,,,2019-05-05 07:34:21,,2019-05-05 07:22:08,2019-05-05 07:34:21
48,,,,,,2019-05-05 08:08:36,,,,,,,,,
49,,,,,,2019-05-05 09:53:40,,,,,,,,,
50,,,,,,2019-05-05 11:21:49,,,,,,,,,
57,2019-05-05 16:26:52,,,,,2019-05-05 16:45:30,,,,,,2019-05-05 16:38:20,,2019-05-05 16:26:52,2019-05-05 16:20:49
58,2019-05-05 17:18:36,,,,,2019-05-05 17:12:58,,,,,,2019-05-05 17:12:58,,2019-05-05 17:23:08,2019-05-05 17:18:36
59,2019-05-05 18:32:50,,,,,2019-05-05 18:28:05,,,,,,2019-05-05 18:17:33,,2019-05-05 18:11:32,2019-05-05 18:02:08
60,2019-05-05 19:34:07,,,,,2019-05-05 19:34:07,,,,,,2019-05-05 19:34:07,,2019-05-05 20:05:00,2019-05-05 19:34:07
61,2019-05-05 20:36:08,,,,,2019-05-05 20:36:08,,,,,,2019-05-05 20:24:33,,2019-05-05 20:36:08,2019-05-05 20:36:08
62,2019-05-05 21:41:07,,,,,2019-05-05 21:08:45,,,,,,2019-05-05 21:41:07,,2019-05-05 21:51:56,2019-05-05 21:41:07
63,2019-05-05 22:07:40,,,,,2019-05-05 22:15:29,,,,,,2019-05-05 22:31:07,,2019-05-05 22:31:07,2019-05-05 22:21:22
64,,,,,,2019-05-05 23:46:08,,,,,2019-05-05 23:43:24,2019-05-05 23:36:33,,2019-05-05 23:32:33,2019-05-05 23:04:29
65,,,,,,2019-05-06 01:12:46,,,,,,2019-05-06 01:08:37,,2019-05-06 01:03:39,2019-05-06 01:00:44
66,,,,2019-05-06 01:50:13,,,,,,,,,,2019-05-06 01:45:12,2019-05-06 01:40:26
67,,,,2019-05-06 02:19:43,,,,,,,,,,2019-05-06 02:16:17,
68,,,,,,,,,,,,2019-05-06 02:36:05,,2019-05-06 02:40:18,2019-05-06 02:36:05
69,2019-05-06 03:19:35,,,2019-05-06 03:35:39,,,,,,,,2019-05-06 03:32:26,,2019-05-06 03:19:35,2019-05-06 03:11:38
70,,,,2019-05-06 04:05:36,,,,,,,,2019-05-06 04:02:25,,2019-05-06 03:59:22,2019-05-06 03:51:52
71,,,,2019-05-06 04:25:25,,,,,,,,2019-05-06 04:49:18,,2019-05-06 04:35:04,2019-05-06 04:25:25
73,,,,2019-05-06 06:07:17,,,,,,,,2019-05-06 06:00:59,,2019-05-06 05:51:37,2019-05-06 05:40:37
74,,,,2019-05-06 06:37:37,,,,,,,,2019-05-06 06:32:37,,2019-05-06 06:28:51,2019-05-06 06:22:41
75,,,,2019-05-06 07:28:03,,,,,,,,,,,
76,,,,2019-05-06 08:04:21,,,,,,2019-05-06 07:54:02,,,,,
77,,,2019-05-06 09:04:53,,,2019-05-06 09:04:53,,,,,,2019-05-06 08:59:17,,2019-05-06 08:55:09,2019-05-06 08:40:45
78,,,2019-05-06 09:41:20,,,2019-05-06 09:33:02,,,,,,2019-05-06 09:41:20,,2019-05-06 09:33:02,2019-05-06 09:28:19
79,,,2019-05-06 10:49:15,,,,,,,,,2019-05-06 10:44:25,,2019-05-06 10:40:03,2019-05-06 10:34:40
82,,,2019-05-06 13:38:13,,,,,,,,,,,,
83,,,,,,,,,,,,2019-05-06 14:22:58,,2019-05-06 14:13:48,
84,,,,,,,,,,,,2019-05-06 14:51:45,,2019-05-06 14:44:37,
85,,,,,,,,,,,,2019-05-06 15:24:23,,2019-05-06 15:17:43,
86,,,,,,2019-05-06 16:15:42,,,,,2019-05-06 16:18:00,2019-05-06 16:15:42,,2019-05-06 16:02:09,2019-05-06 15:57:05
87,,,,,,2019-05-06 17:43:26,,,,,,,,2019-05-06 17:18:17,
88,,,,,,2019-05-06 18:17:34,,,,,,2019-05-06 18:10:53,,2019-05-06 18:03:21,2019-05-06 17:52:01
89,,,,,,2019-05-06 18:47:13,,,,,,2019-05-06 18:50:15,,2019-05-06 18:47:13,2019-05-06 18:41:40
90,,,,2019-05-06 19:37:36,,,,,,,,2019-05-06 19:27:54,,2019-05-06 19:15:36,2019-05-06 19:08:02
91,,,,,,2019-05-06 20:43:05,,,,,,2019-05-06 20:49:51,,2019-05-06 20:43:05,2019-05-06 20:28:50
92,,,,,,2019-05-06 21:23:02,,,,,,,,2019-05-06 21:11:31,
93,,,,,,2019-05-06 21:56:33,,,,,,,,2019-05-06 21:47:37,
94,,,,,,2019-05-06 22:34:09,,,,,,2019-05-06 22:28:30,,2019-05-06 22:24:04,
95,,,,,,2019-05-06 23:28:31,,,,,,2019-05-06 23:24:29,,2019-05-06 23:15:23,
96,,,,,,2019-05-06 23:57:16,,,,,2019-05-07 00:01:30,2019-05-06 23:57:16,,2019-05-06 23:50:12,
97,,,,,,,,,,2019-05-07 01:15:07,,2019-05-07 01:09:20,,2019-05-07 01:02:54,2019-05-07 00:46:52
98,,,,,,,,,,2019-05-07 01:56:53,,2019-05-07 01:52:03,,2019-05-07 01:48:44,2019-05-07 01:41:27
99,,,2019-05-07 02:33:54,,,,,,,,,2019-05-07 02:33:54,,2019-05-07 02:28:26,2019-05-07 02:20:47
100,,,,,,,,,,2019-05-07 03:10:27,,2019-05-07 03:06:55,,2019-05-07 03:03:52,2019-05-07 02:56:03
101,,,,,,,,,,2019-05-07 03:32:28,,2019-05-07 03:47:19,,2019-05-07 03:32:28,2019-05-07 03:27:32
102,,,2019-05-07 04:36:23,,,,,,,2019-05-07 04:36:23,,2019-05-07 04:36:23,,2019-05-07 04:22:46,2019-05-07 04:08:34
103,,,2019-05-07 05:53:28,,,,,,,2019-05-07 05:50:53,,2019-05-07 05:45:04,,2019-05-07 05:30:21,2019-05-07 05:25:09
104,,,,,,,,,,2019-05-07 06:50:00,,,,,
105,,,2019-05-07 07:34:35,,,,,,,,,,,,
106,,,,,,,,,,,,2019-05-07 08:43:48,,2019-05-07 08:30:43,2019-05-07 08:21:47
107,,,,,,,,,,,,2019-05-07 09:34:54,,2019-05-07 09:32:37,2019-05-07 09:27:38
108,,,,,,2019-05-07 09:53:19,,,,,2019-05-07 09:53:19,2019-05-07 09:53:19,,2019-05-07 09:59:03,2019-05-07 09:53:19
109,,,,,,,,,,,,2019-05-07 11:09:09,,2019-05-07 11:02:30,2019-05-07 10:50:15
111,,,,,,,,,,,,2019-05-07 12:35:09,,2019-05-07 13:14:08,2019-05-07 13:05:40
112,,,2019-05-07 13:52:24,,,,,,,,,,,,
113,,2019-05-07 15:39:35,,,2019-05-07 15:19:17,,,,,,,,,,
114,,2019-05-07 16:16:34,,,2019-05-07 16:46:56,,,,,,,,,,
115,2019-05-07 17:37:05,2019-05-07 19:13:07,,2019-05-07 19:09:27,2019-05-07 19:04:09,,2019-05-07 18:11:01,,,,2019-05-07 18:04:04,,,,
116,,,,2019-05-07 20:21:49,,,,,,,,2019-05-07 20:11:34,,2019-05-07 20:39:12,2019-05-07 20:30:35
117,2019-05-07 22:54:29,2019-05-07 22:50:29,,2019-05-07 22:38:43,2019-05-07 22:32:04,,,,,,,,,,
118,2019-05-08 01:46:58,2019-05-08 01:46:58,,2019-05-08 01:41:53,2019-05-08 01:25:11,,,,,,,,,,
119,2019-05-08 01:53:35,2019-05-08 01:53:35,,2019-05-08 02:25:41,2019-05-08 01:53:35,,,,,,,,,,
120,,,,2019-05-08 04:26:44,,,,,,,,2019-05-08 04:26:44,,2019-05-08 04:22:19,2019-05-08 04:04:59
121,,,,2019-05-08 05:13:20,,,,,,,,2019-05-08 05:10:11,,2019-05-08 05:05:24,2019-05-08 04:58:22
122,,,,2019-05-08 05:52:48,,,,,,,,2019-05-08 05:49:58,,2019-05-08 05:47:43,2019-05-08 05:40:21
123,,,,2019-05-08 06:25:36,,,,,,,,2019-05-08 06:19:00,,2019-05-08 06:45:43,
124,,,,2019-05-08 07:06:37,,,,,,,,2019-05-08 07:16:19,,2019-05-08 07:10:45,
125,,,2019-05-08 08:05:54,2019-05-08 08:15:03,,,,,,,,2019-05-08 08:05:54,,2019-05-08 07:58:54,
126,,,2019-05-08 08:46:51,,,,,,,,,2019-05-08 08:43:09,,2019-05-08 08:37:39,2019-05-08 08:32:05
127,,,2019-05-08 09:14:50,,,,,,,,,,,2019-05-08 09:14:50,2019-05-08 09:11:38
128,2019-05-08 09:50:17,,2019-05-08 09:58:14,,,,,,,,,2019-05-08 09:55:08,,2019-05-08 09:50:17,2019-05-08 09:44:12
129,,,,2019-05-08 13:47:21,,,,,,,,2019-05-08 13:47:21,,2019-05-08 13:33:52,2019-05-08 13:28:23
130,2019-05-08 14:10:47,,2019-05-08 14:10:47,,,,,,,,,2019-05-08 14:29:54,,2019-05-08 14:16:31,2019-05-08 14:10:47
131,,,,,,2019-05-08 15:46:06,,,,,2019-05-08 15:39:24,2019-05-08 15:31:25,,2019-05-08 15:21:39,2019-05-08 15:16:47
132,,,,,,2019-05-08 17:12:01,,,,,,,,2019-05-08 17:12:01,
133,,,2019-05-08 18:09:39,,,,,,,,,2019-05-08 18:09:39,,2019-05-08 18:21:15,2019-05-08 18:09:39
134,2019-05-08 18:38:10,,,,,,,,,,,2019-05-08 18:53:12,,2019-05-08 18:53:12,2019-05-08 18:45:27
135,2019-05-08 19:41:48,,2019-05-08 19:59:10,,,,,,,,,2019-05-08 19:41:48,,2019-05-08 19:33:56,2019-05-08 19:28:08
136,2019-05-08 20:35:02,,2019-05-08 20:35:02,,,,,,,,,2019-05-08 20:35:02,,2019-05-08 20:29:26,2019-05-08 20:24:30
137,,,2019-05-08 21:28:47,,,,,,,,,2019-05-08 21:33:27,,2019-05-08 21:28:47,2019-05-08 21:19:47
138,,,2019-05-08 22:32:09,,,,,,,,,2019-05-08 22:28:00,,2019-05-08 22:13:40,2019-05-08 22:01:40
139,,,2019-05-08 23:42:10,,,,,,,,,2019-05-08 23:36:16,,2019-05-08 23:15:43,2019-05-08 23:04:37
140,2019-05-09 00:10:01,,2019-05-08 23:56:20,,,,,,,,,,,2019-05-09 00:21:00,2019-05-09 00:10:01
141,,,,,,,,,,,,2019-05-09 00:59:46,,2019-05-09 00:51:53,
142,,,2019-05-09 01:46:28,,,,,,,,,2019-05-09 01:41:41,,2019-05-09 01:35:52,
143,,,2019-05-09 02:05:14,,,,,,,,,2019-05-09 02:18:05,,2019-05-09 02:05:14,
144,,,,,,,,,,,,2019-05-09 03:22:10,,2019-05-09 03:11:04,2019-05-09 03:04:23
145,,,2019-05-09 04:10:28,,,,,,,,,2019-05-09 04:06:41,,2019-05-09 04:01:43,2019-05-09 03:55:24
146,,,2019-05-09 05:04:57,,,,,,,,,2019-05-09 04:57:52,,2019-05-09 04:45:43,2019-05-09 04:30:56
147,,,2019-05-09 05:50:14,,,,,,,,,2019-05-09 05:45:04,,2019-05-09 06:12:32,2019-05-09 06:09:07
148,,,,,,,,,,,,2019-05-09 07:56:59,,2019-05-09 07:52:25,2019-05-09 07:43:11
149,,,,,,2019-05-09 09:03:16,,,,,2019-05-09 08:58:16,,,2019-05-09 08:55:17,2019-05-09 08:52:27
150,,,,,,2019-05-09 10:21:02,,,,,,2019-05-09 10:13:10,,2019-05-09 10:08:12,2019-05-09 10:00:37
152,,,,,,,,,,,,2019-05-09 11:24:50,,2019-05-09 11:29:52,2019-05-09 11:24:50
153,,,,,,2019-05-09 12:26:15,,,,,,,,2019-05-09 12:17:25,
154,,,,,,,,,,,,2019-05-09 13:33:38,,2019-05-09 13:28:25,2019-05-09 13:25:06
155,,,,,,,,,,,,2019-05-09 14:01:21,,2019-05-09 13:57:36,2019-05-09 13:52:40
156,2019-05-09 14:14:29,,,,,2019-05-09 14:35:20,,,,,2019-05-09 14:23:12,2019-05-09 14:41:45,,2019-05-09 14:35:20,2019-05-09 14:23:12
157,,,,,,,,,,,,,,2019-05-09 15:55:26,
158,,,2019-05-09 16:32:49,,2019-05-09 16:32:49,,,,,,,2019-05-09 16:50:04,,2019-05-09 16:44:48,2019-05-09 16:39:40
159,,,,,,2019-05-09 17:29:56,,,,,,,,2019-05-09 17:24:36,
160,,,,,,,,,,,,2019-05-09 18:38:42,,2019-05-09 18:27:47,2019-05-09 18:17:27
161,,,2019-05-09 18:54:19,,,,,,,,,2019-05-09 19:17:36,,2019-05-09 19:22:57,2019-05-09 19:17:36
162,,,2019-05-09 20:07:39,,,,,,,,,2019-05-09 20:02:11,,2019-05-09 19:55:41,2019-05-09 19:45:03
163,,,2019-05-09 21:10:59,,,2019-05-09 21:08:08,,,,,,2019-05-09 21:03:27,,2019-05-09 20:59:04,2019-05-09 20:49:38
164,,,2019-05-09 22:03:23,,,2019-05-09 22:00:42,,,,,,2019-05-09 21:58:00,,2019-05-09 21:49:56,2019-05-09 21:44:41
165,,,2019-05-09 23:06:29,,,,,,,,,2019-05-09 23:03:23,,2019-05-09 22:51:15,2019-05-09 22:38:55
166,,,2019-05-09 23:43:07,,,2019-05-09 23:43:07,,,,,,2019-05-10 00:00:36,,2019-05-10 00:00:36,2019-05-10 00:00:36
167,,,2019-05-10 01:11:01,,,2019-05-10 00:48:12,,,,,,,,,
168,,,2019-05-10 02:09:46,,,,,,,,,2019-05-10 02:06:09,,2019-05-10 02:01:48,2019-05-10 01:58:49
169,,,2019-05-10 02:32:16,,,,,,,,,2019-05-10 02:20:22,,2019-05-10 02:32:16,2019-05-10 02:32:16
170,,,2019-05-10 02:47:53,,,2019-05-10 03:33:42,,,,,,2019-05-10 03:20:52,,2019-05-10 03:16:24,
171,,,2019-05-10 04:33:16,,,2019-05-10 04:28:55,,,,,,2019-05-10 04:23:34,,2019-05-10 04:09:06,2019-05-10 04:00:36
172,,,2019-05-10 05:07:01,,,2019-05-10 05:01:31,,,,,,2019-05-10 04:57:50,,2019-05-10 04:50:05,
173,,,2019-05-10 05:48:04,,,2019-05-10 05:41:51,,,,,,2019-05-10 05:38:26,,2019-05-10 05:32:18,
174,,,2019-05-10 06:35:55,,,2019-05-10 06:33:28,,,,,,2019-05-10 06:28:59,,2019-05-10 06:22:51,
175,,,2019-05-10 07:12:33,,,2019-05-10 07:08:59,,,,,,2019-05-10 07:01:24,,2019-05-10 06:56:31,
176,,,2019-05-10 07:25:57,,,2019-05-10 07:42:42,,,,,2019-05-10 07:53:26,2019-05-10 07:42:42,,2019-05-10 07:29:12,
177,,,,2019-05-10 09:55:10,,,,,,,,2019-05-10 09:52:52,,2019-05-10 09:46:53,2019-05-10 09:41:08
178,,,,2019-05-10 10:54:05,,,,,,,,2019-05-10 10:54:05,,2019-05-10 10:50:39,2019-05-10 10:41:50
179,,,,2019-05-10 11:58:24,,,,,,,,2019-05-10 11:53:35,,2019-05-10 11:42:16,2019-05-10 11:34:40
180,,,,,,,,,,,,2019-05-10 13:14:34,,2019-05-10 13:11:15,2019-05-10 13:07:55
181,,,,,,,,,,,,,,2019-05-10 13:53:21,2019-05-10 13:49:58
182,,,,,,,,,,,,2019-05-10 14:28:01,,2019-05-10 14:23:34,2019-05-10 14:17:19
183,,,,,,2019-05-10 14:54:38,,,,,2019-05-10 14:46:18,2019-05-10 15:00:02,,2019-05-10 14:54:38,2019-05-10 14:46:18
184,,,,,,2019-05-10 15:40:53,,,,,,2019-05-10 15:47:15,,2019-05-10 15:40:53,2019-05-10 15:34:32
185,,,,,,,,,,,,,,2019-05-10 16:13:39,2019-05-10 16:09:14
186,,,,,,,,,,,,2019-05-10 16:43:41,,2019-05-10 16:40:13,2019-05-10 16:31:03
187,,,,,,,,,,,,2019-05-10 17:13:56,,2019-05-10 17:08:47,2019-05-10 17:02:32
189,,,,,,2019-05-10 18:36:30,,,,,2019-05-10 18:36:30,2019-05-10 18:48:09,,2019-05-10 18:42:46,2019-05-10 18:36:30
190,,,,,,2019-05-10 20:00:57,,,,,,,,,
191,,,,2019-05-10 20:56:54,,,,,,,,2019-05-10 20:50:16,,2019-05-10 20:44:46,2019-05-10 20:37:28
192,,,,,,2019-05-10 21:05:18,,,,,2019-05-10 21:21:48,,,,
193,,,,2019-05-10 22:35:30,,,,,,,,2019-05-10 22:31:09,,2019-05-10 22:23:44,2019-05-10 22:20:24
194,,,,2019-05-10 23:54:09,,,,,,,,,,,
196,,,,2019-05-11 01:51:23,,,,,,,,,,,
197,,,,,,,,,,,,2019-05-11 02:49:03,,2019-05-11 02:44:37,2019-05-11 02:39:51
198,2019-05-11 03:53:30,,,2019-05-11 03:47:10,,,,,,,,2019-05-11 03:41:05,2019-05-11 03:35:36,2019-05-11 03:31:17,2019-05-11 03:23:25
199,2019-05-11 03:58:38,,,2019-05-11 04:28:05,,,,,,,,2019-05-11 04:19:11,,2019-05-11 04:10:00,2019-05-11 04:04:50
200,,,,,,2019-05-11 04:47:58,,,,,,2019-05-11 05:05:49,,2019-05-11 05:02:05,2019-05-11 05:05:49
201,2019-05-11 06:21:38,,,2019-05-11 06:09:00,,,,,,,,2019-05-11 05:44:21,,2019-05-11 05:35:38,2019-05-11 05:30:35
202,2019-05-11 07:01:15,,,2019-05-11 06:43:00,,,,,,,,2019-05-11 07:16:16,,2019-05-11 07:16:16,2019-05-11 07:01:15
203,,,,2019-05-11 07:52:01,,,,,,,,,,2019-05-11 07:52:01,
204,,,,2019-05-11 08:33:05,,,,,,,,2019-05-11 08:29:04,2019-05-11 08:18:48,,2019-05-11 08:10:45
205,,,,2019-05-11 08:40:15,,,,,,,,2019-05-11 08:40:15,,2019-05-11 09:09:16,2019-05-11 09:00:09
206,,,,2019-05-11 09:30:03,,,,,,,,2019-05-11 09:30:03,,2019-05-11 09:39:15,2019-05-11 09:39:15
207,,,,2019-05-11 10:11:53,,,,,,,,2019-05-11 10:11:53,,2019-05-11 10:06:58,2019-05-11 10:03:13
208,,,,2019-05-11 10:43:33,,,,,,,,,,,
209,,,2019-05-11 12:15:03,,,,,,,,,2019-05-11 12:07:24,,2019-05-11 12:04:10,
210,,,2019-05-11 12:50:40,,,,,,,,,2019-05-11 12:46:00,,2019-05-11 12:38:57,
211,,,,,,,,,,,,2019-05-11 13:25:35,,2019-05-11 13:22:50,
212,,,,,,,,,,,,2019-05-11 13:50:13,,2019-05-11 13:46:47,
213,,,,,,,,,,,,2019-05-11 15:13:18,,2019-05-11 15:08:33,2019-05-11 14:59:08
214,,,,,,,,,,,,,,2019-05-11 15:49:04,
215,,,,2019-05-11 17:06:48,,,,,,,,2019-05-11 17:03:41,,2019-05-11 16:58:01,2019-05-11 16:47:23
216,,,,2019-05-11 17:47:10,,,,,,,,2019-05-11 17:44:04,,2019-05-11 17:41:22,2019-05-11 17:36:17
217,,,,2019-05-11 18:26:24,,,,,,,,2019-05-11 18:33:06,,2019-05-11 18:26:24,2019-05-11 18:08:52
218,,,,2019-05-11 19:03:51,,,,,,,,2019-05-11 19:23:45,,2019-05-11 19:19:02,2019-05-11 19:03:51
219,,,,2019-05-11 20:22:22,,,,,,,,2019-05-11 20:19:37,,2019-05-11 20:06:24,2019-05-11 19:58:32
220,,,,2019-05-11 21:21:16,,,,,,,,,,,
221,2019-05-11 22:08:02,,,2019-05-11 22:08:02,,,,,,,,2019-05-11 22:01:09,,2019-05-11 22:08:02,
222,2019-05-11 23:59:58,,,2019-05-11 23:56:06,,,,,,,,2019-05-11 23:50:17,,2019-05-11 23:43:16,2019-05-11 23:33:04
223,,,2019-05-12 01:21:41,,,,,,,,,2019-05-12 01:15:31,,2019-05-12 01:02:30,2019-05-12 00:54:49
224,,,,,,,,,,,,2019-05-12 02:10:33,,2019-05-12 02:06:46,2019-05-12 01:52:58
226,,,2019-05-12 03:29:39,,,,,,,,,2019-05-12 04:01:05,,2019-05-12 03:44:16,2019-05-12 03:37:33
227,2019-05-12 04:52:28,,,,,,,,,,,2019-05-12 05:15:50,,2019-05-12 05:12:37,
228,,,2019-05-12 07:05:03,,,2019-05-12 07:35:31,,,,,,2019-05-12 07:40:45,,2019-05-12 07:35:31,2019-05-12 07:21:31
229,,,,2019-05-12 09:17:31,2019-05-12 09:17:31,,,,,,,2019-05-12 08:57:41,,2019-05-12 08:36:45,2019-05-12 08:30:48
230,,,,2019-05-12 09:50:33,2019-05-12 09:50:33,,,,,,,2019-05-12 09:50:33,,2019-05-12 09:46:46,2019-05-12 09:41:17
231,,,,,2019-05-12 10:54:36,,,,,,,2019-05-12 10:51:05,,2019-05-12 10:40:01,2019-05-12 10:36:13
232,,,,,2019-05-12 11:40:43,,,,,,,2019-05-12 11:37:37,,2019-05-12 11:31:16,2019-05-12 11:26:24
233,,,,,2019-05-12 12:25:57,,,,,,,2019-05-12 12:21:36,,2019-05-12 12:18:20,2019-05-12 12:06:50
234,,,,,2019-05-12 13:06:07,,,,,,,2019-05-12 13:03:39,,2019-05-12 12:59:20,
235,,,2019-05-12 15:13:31,,2019-05-12 15:10:42,,,,,,,2019-05-12 15:05:47,,2019-05-12 14:57:04,2019-05-12 14:51:02
236,,,2019-05-12 15:45:51,,,,,,,,,,,2019-05-12 15:39:22,
237,,,,,,,,,,,,2019-05-12 16:09:57,,2019-05-12 16:26:46,
238,,,2019-05-12 16:51:54,,,,,,,,,,,2019-05-12 16:51:54,
239,,,,,,2019-05-12 17:18:24,,,,,,,,2019-05-12 17:24:35,
240,,,,,,,,,,,,,,2019-05-12 18:28:43,
241,,,2019-05-12 19:04:59,,,,,,,,,,,2019-05-12 18:58:12,
242,,,2019-05-12 19:43:37,,,,,,,,,,,2019-05-12 19:39:42,
243,,,2019-05-12 20:17:11,,,,,,,,,,,,
244,,,2019-05-12 21:24:43,,,,,,,,,,,,
245,,,2019-05-12 21:40:51,,,,,,,,,,,2019-05-12 21:57:41,
246,,,2019-05-12 22:17:11,,,,,,,,,,,,
247,,,,,,2019-05-12 23:19:20,,,,,,,,,
248,,,,2019-05-13 00:20:51,,,,,,,,,,,
249,,,,2019-05-13 01:38:19,,,,,,,,,,,
250,,,,2019-05-13 02:10:43,,,,,,,,,,,
251,2019-05-13 03:00:10,,,2019-05-13 03:00:10,,,,,,,,2019-05-13 02:53:06,,2019-05-13 03:18:06,2019-05-13 03:00:10
