key,Wire 1,Wire 2,Wire 3,Wire 4,Wire 5,Wire 6,Wire 7,Wire 8,Wire 9
60,2019-05-05 19:28:03,2019-05-05 19:17:11,,,,,,,
61,2019-05-05 20:33:00,2019-05-05 20:24:33,,,,,,,
62,2019-05-05 21:22:46,2019-05-05 21:08:45,,,,,,,
63,2019-05-05 22:15:29,2019-05-05 22:07:40,,,,,,,
64,2019-05-05 22:59:12,2019-05-05 22:49:39,,,,,,,
65,2019-05-06 00:53:53,2019-05-06 00:40:47,,,,,,,
66,2019-05-06 01:35:04,,,,,,,,
67,2019-05-06 02:09:56,,,,,,,,
68,2019-05-06 02:29:19,,,,,,,,
69,2019-05-06 03:01:28,2019-05-06 02:53:56,,,,,,,
70,2019-05-06 03:46:53,,,,,,,,
71,2019-05-06 04:19:03,,,,,,,,
72,2019-05-06 05:12:19,,,,,,,,
73,2019-05-06 05:34:56,,,,,,,,
74,2019-05-06 06:13:39,,,,,,,,
75,2019-05-06 07:12:02,,,,,,,,
76,2019-05-06 07:36:22,,,,,,,,
77,2019-05-06 08:35:32,2019-05-06 08:22:55,,,,,,,
78,2019-05-06 09:23:31,2019-05-06 09:13:46,,,,,,,
79,2019-05-06 10:29:50,2019-05-06 10:19:44,,,,,,,
80,2019-05-06 12:00:17,,,,,,,,
86,2019-05-06 15:48:01,,,,,,,,
87,2019-05-06 16:55:41,,,,,,,,
89,2019-05-06 18:33:28,2019-05-06 18:28:03,,,,,,,
90,2019-05-06 19:00:47,,,,,,,,
91,2019-05-06 20:19:47,2019-05-06 20:07:44,,,,,,,
92,2019-05-06 21:07:22,,,,,,,,
93,2019-05-06 21:40:06,,,,,,,,
94,2019-05-06 22:17:07,,,,,,,,
95,2019-05-06 23:06:48,2019-05-06 22:52:53,,,,,,,
96,2019-05-06 23:43:14,2019-05-06 23:39:50,,,,,,,
97,2019-05-07 00:31:09,,,,,,,,
98,2019-05-07 01:35:40,,,,,,,,
99,2019-05-07 02:14:36,,,,,,,,
100,2019-05-07 02:52:10,,,,,,,,
101,2019-05-07 03:21:16,,,,,,,,
102,2019-05-07 04:01:16,,,,,,,,
103,2019-05-07 05:20:19,2019-05-07 05:12:37,,,,,,,
104,2019-05-07 06:43:43,,,,,,,,
105,2019-05-07 07:27:16,,,,,,,,
106,2019-05-07 08:10:46,,,,,,,,
107,2019-05-07 09:16:18,,,,,,,,
108,2019-05-07 09:59:03,2019-05-07 09:53:19,,,,,,,
110,2019-05-07 11:59:01,2019-05-07 11:56:05,,,,,,,
111,2019-05-07 12:40:38,2019-05-07 12:35:09,,,,,,,
112,2019-05-07 13:52:24,,,,,,,,
113,2019-05-07 15:44:02,,2019-05-07 15:39:35,2019-05-07 15:19:17,,2019-05-07 14:46:05,,,
114,,,2019-05-07 17:12:49,2019-05-07 16:46:56,,2019-05-07 16:16:34,,,
115,,,,,,2019-05-07 17:37:05,,,
116,2019-05-07 20:21:49,2019-05-07 20:11:34,,,,,,,
117,,,2019-05-07 22:24:56,,,2019-05-07 21:53:14,,,
118,,,2019-05-07 23:37:44,2019-05-07 23:21:42,,2019-05-07 23:01:42,,,
119,,,2019-05-08 02:25:41,,,2019-05-08 01:53:35,,,
120,2019-05-08 03:53:42,,,,,,,,
121,2019-05-08 04:52:27,,,,,,,,
122,2019-05-08 05:36:40,,,,,,,,
123,2019-05-08 06:33:27,,2019-05-08 06:25:36,,,2019-05-08 06:19:00,,,
124,2019-05-08 07:06:37,,2019-05-08 07:00:18,,,2019-05-08 06:54:07,,,
125,2019-05-08 07:54:44,,2019-05-08 07:47:18,,,2019-05-08 07:39:19,,,
126,2019-05-08 08:26:39,,,,,,,,
127,2019-05-08 09:07:06,,,,,2019-05-08 09:01:22,,,
128,2019-05-08 09:32:38,,,,,,,,
129,2019-05-08 13:20:57,,,,,,,,
130,2019-05-08 14:06:25,,,,,2019-05-08 14:00:10,,,
131,2019-05-08 15:12:46,,,,,2019-05-08 15:07:48,,,
132,,,,,,2019-05-08 17:02:28,,,
133,2019-05-08 18:02:45,,,,,2019-05-08 17:52:46,,,
134,,,,,,2019-05-08 18:38:10,,,
135,2019-05-08 19:22:04,,,,,2019-05-08 19:14:44,,,
136,2019-05-08 20:17:21,,,,,2019-05-08 20:11:04,,,
137,2019-05-08 21:14:52,,,,,2019-05-08 21:09:25,,,
138,2019-05-08 21:56:48,,,,,2019-05-08 21:47:30,,,
139,2019-05-08 22:58:11,,,,,2019-05-08 22:48:56,,,
140,2019-05-09 00:05:54,2019-05-08 23:56:20,,,,2019-05-08 23:48:40,,,
141,2019-05-09 00:39:12,,,,,2019-05-09 00:31:45,,,
142,2019-05-09 01:30:42,,,,,,,,
143,2019-05-09 01:57:56,,,,,,,,
144,2019-05-09 02:56:43,,,,,2019-05-09 02:52:53,,,
145,2019-05-09 03:50:17,,,,,2019-05-09 03:42:13,,,
146,2019-05-09 04:21:20,,,,,,,,
147,2019-05-09 05:50:14,2019-05-09 05:45:04,,,,2019-05-09 05:40:27,,,
148,2019-05-09 07:34:06,2019-05-09 07:15:02,,,,,,,
149,2019-05-09 08:46:41,,,,,,,,
150,2019-05-09 09:51:55,,,,,,,,
151,2019-05-09 11:14:10,,,,,,,,
152,2019-05-09 11:18:12,,,,,,,,
153,2019-05-09 12:12:22,,,,,,,,
154,2019-05-09 13:19:57,2019-05-09 13:12:42,,,,,,,
155,2019-05-09 13:47:15,,,,,,,,
156,2019-05-09 14:14:29,,,,,,,,
157,2019-05-09 15:51:24,,,,,,,,
158,2019-05-09 16:32:49,2019-05-09 16:26:14,,,,,,,
159,2019-05-09 17:15:43,,,,,,,,
160,2019-05-09 18:02:58,,,,,,,,
161,2019-05-09 19:00:31,2019-05-09 18:54:19,,,,,,,
162,2019-05-09 19:31:56,,,,,,,,
163,2019-05-09 20:41:57,2019-05-09 20:36:48,,,,,,,
164,2019-05-09 21:39:35,2019-05-09 21:33:45,,,,,,,
165,2019-05-09 22:32:34,2019-05-09 22:23:38,,,,,,,
166,2019-05-09 23:43:07,2019-05-09 23:35:52,,,,,,,
167,2019-05-10 01:11:01,2019-05-10 00:48:12,,,,,,,
168,2019-05-10 01:55:31,2019-05-10 01:51:11,,,,,,,
169,2019-05-10 02:25:52,2019-05-10 02:20:22,,,,,,,
170,2019-05-10 02:56:09,2019-05-10 02:47:53,,,,,,,
171,2019-05-10 03:54:39,2019-05-10 03:45:25,,,,,,,
172,2019-05-10 04:46:13,,,,,,,,
173,2019-05-10 05:25:05,,,,,,,,
174,2019-05-10 06:15:16,,,,,,,,
175,2019-05-10 06:47:26,,,,,,,,
176,2019-05-10 07:25:57,,,,,,,,
177,2019-05-10 09:33:07,,,,,,,,
178,2019-05-10 10:24:00,,,,,,,,
179,2019-05-10 11:27:18,,,,,,,,
180,2019-05-10 13:00:19,,,,,,,,
181,2019-05-10 13:45:54,,,,,,,,
182,2019-05-10 14:08:28,,,,,,,,
183,2019-05-10 14:39:43,,,,,,,,
184,2019-05-10 15:25:12,,,,,,,,
185,2019-05-10 16:01:22,,,,,,,,
186,2019-05-10 16:25:00,,,,,,,,
187,2019-05-10 16:55:56,,,,,,,,
188,2019-05-10 17:46:40,,,,,,,,
189,2019-05-10 18:23:55,2019-05-10 18:07:11,,,,,,,
190,2019-05-10 19:48:29,2019-05-10 19:41:39,,,,,,,
191,2019-05-10 20:26:01,,,,,,,,
192,2019-05-10 21:11:02,2019-05-10 21:05:18,,,,,,,
193,2019-05-10 22:04:48,,,,,,,,
194,2019-05-10 23:49:37,,,,,,,,
196,2019-05-11 01:47:05,,,,,,,,
198,2019-05-11 02:58:47,,,,,,,,
199,2019-05-11 03:58:38,,,,,,,,
200,2019-05-11 05:02:05,2019-05-11 04:47:58,,,,,,,
201,2019-05-11 05:23:26,,,,,,,,
202,2019-05-11 06:43:00,2019-05-11 06:31:47,,,,,,,
203,2019-05-11 07:43:58,2019-05-11 07:36:14,,,,,,,
204,2019-05-11 08:01:23,2019-05-11 07:58:23,,,,,,,
205,2019-05-11 08:49:26,2019-05-11 08:40:15,,,,,,,
206,2019-05-11 09:30:03,2019-05-11 09:25:38,,,,,,,
207,2019-05-11 09:58:13,2019-05-11 09:53:42,,,,,,,
208,2019-05-11 10:38:36,,,,,,,,
213,2019-05-11 14:47:11,,,,,,,,
214,2019-05-11 15:56:17,2019-05-11 15:49:04,,,,,,,
215,2019-05-11 16:38:49,,,,,,,,
216,2019-05-11 17:29:54,2019-05-11 17:23:52,,,,,,,
217,2019-05-11 17:59:33,,,,,,,,
218,2019-05-11 18:52:30,,,,,,,,
219,2019-05-11 19:51:23,2019-05-11 19:43:17,,,,,,,
220,2019-05-11 20:56:19,,,,,,,,
221,2019-05-11 22:01:09,2019-05-11 21:38:56,,,,,,,
222,2019-05-11 23:22:40,,,,,,,,
223,2019-05-12 00:47:12,2019-05-12 00:34:07,,,,,,,
224,2019-05-12 01:46:37,2019-05-12 01:41:06,,,,,,,
225,2019-05-12 02:41:43,2019-05-12 02:33:00,,,,,,,
226,2019-05-12 03:29:39,,,,,,,,
227,2019-05-12 04:52:28,,,,,,,,
228,2019-05-12 07:10:52,2019-05-12 07:05:03,,,,,,,
229,2019-05-12 08:21:34,,,,,,,,
230,2019-05-12 09:35:25,,,,,,,,
231,2019-05-12 10:31:57,,,,,,,,
232,2019-05-12 11:21:18,,,,,,,,
233,2019-05-12 12:00:52,,,,,,,,
234,2019-05-12 12:38:23,,,,,,,,
235,2019-05-12 14:43:57,2019-05-12 14:31:28,,,,,,,
236,2019-05-12 15:30:46,2019-05-12 15:27:01,,,,,,,
237,2019-05-12 16:15:08,2019-05-12 16:09:57,,,,,,,
238,2019-05-12 16:51:54,2019-05-12 16:41:23,,,,,,,
239,2019-05-12 17:18:24,2019-05-12 17:06:53,,,,,,,
240,2019-05-12 18:20:28,2019-05-12 18:17:57,,,,,,,
241,2019-05-12 18:44:11,2019-05-12 18:41:49,,,,,,,
242,2019-05-12 19:34:47,2019-05-12 19:27:06,,,,,,,
243,2019-05-12 20:12:08,2019-05-12 20:06:18,,,,,,,
244,2019-05-12 21:04:45,2019-05-12 20:45:05,,,,,,,
245,2019-05-12 21:40:51,2019-05-12 21:35:09,,,,,,,
246,2019-05-12 22:17:11,2019-05-12 22:17:11,,,,,,,
247,2019-05-12 23:19:20,2019-05-12 23:19:20,,,,,,,
248,2019-05-13 00:20:51,,,,,,,,
249,2019-05-13 01:08:46,,,,,,,,
250,2019-05-13 02:04:48,,,,,,,,
251,2019-05-13 02:53:06,,,,,,,,
252,2019-05-13 04:10:53,2019-05-13 03:56:46,,,,,,,
253,2019-05-13 05:16:08,2019-05-13 05:08:34,,,,,,,
254,2019-05-13 08:48:01,,,,,,,,
255,2019-05-13 09:50:14,,,,,,,,
256,2019-05-13 11:05:50,,,,,,,,
257,2019-05-13 11:30:18,,,,,,,,
258,2019-05-13 13:04:27,,,,,,,,
259,2019-05-13 14:38:46,,,,,,,,
260,2019-05-13 15:24:22,,,,,,,,
261,2019-05-13 16:01:09,,,,,,,,
262,2019-05-13 16:38:23,,,,,,,,
263,2019-05-13 17:41:31,,,,,,,,
264,2019-05-13 18:40:53,,,,,,,,
265,2019-05-13 19:13:19,,,,,,,,
266,2019-05-13 19:41:22,,,,,,,,
267,2019-05-13 20:22:14,,,,,,,,
268,2019-05-13 21:01:00,,,,,,,,
270,2019-05-14 01:01:34,2019-05-14 00:52:16,,,,,,,
271,2019-05-14 02:29:15,2019-05-14 02:17:37,,,,,,,
272,2019-05-14 03:23:33,2019-05-14 03:13:26,,,,,,,
273,2019-05-14 03:46:18,,,,,,,,
274,2019-05-14 05:15:39,2019-05-14 04:44:11,,,,,,,
275,2019-05-14 06:21:25,2019-05-14 06:11:36,,,,,,,
276,2019-05-14 07:02:23,2019-05-14 06:55:38,,,,,,,
277,2019-05-14 08:00:52,2019-05-14 07:46:51,,,,,,,
278,2019-05-14 08:51:49,2019-05-14 08:43:53,,,,,,,
279,2019-05-14 10:13:37,,,,,,,,
280,2019-05-14 11:40:36,2019-05-14 11:35:52,,,,,,2019-05-14 11:29:24,
281,2019-05-14 12:30:30,2019-05-14 12:23:21,,,,,,2019-05-14 12:18:01,
282,2019-05-14 13:02:53,2019-05-14 12:56:25,,,,,,2019-05-14 12:52:37,
283,2019-05-14 13:30:29,2019-05-14 13:27:16,,,,,,2019-05-14 13:20:41,
284,2019-05-14 14:16:21,2019-05-14 14:10:18,,,,,,2019-05-14 14:05:13,
285,2019-05-14 14:38:26,,,,,,,2019-05-14 14:35:02,
286,2019-05-14 15:18:35,2019-05-14 15:11:52,,,,,,2019-05-14 15:07:59,
287,2019-05-14 15:52:41,2019-05-14 15:48:11,,,,,,2019-05-14 15:43:01,
288,2019-05-14 16:25:11,,,,,,,2019-05-14 16:18:12,
289,2019-05-14 17:04:42,2019-05-14 17:02:04,,,,,,2019-05-14 16:55:09,
290,2019-05-14 17:41:37,,,,,,,,
291,2019-05-14 18:29:38,2019-05-14 18:17:43,,,,,,,
292,2019-05-14 19:39:29,,,,,,,,
293,2019-05-14 20:24:53,,,,,,,,
294,2019-05-14 21:06:32,,,,,,,,
295,2019-05-14 21:38:03,,,,,,,,
296,2019-05-14 22:19:56,,,,,,,,
297,2019-05-14 23:05:38,,,,,,,,
298,2019-05-14 23:49:50,,,,,,,,
299,2019-05-15 00:55:45,2019-05-15 00:47:35,,,,,,,
300,2019-05-15 02:02:34,2019-05-15 01:54:50,,,,,,,
301,2019-05-15 02:58:29,2019-05-15 02:50:43,,,,,,,
302,2019-05-15 03:56:49,2019-05-15 03:49:13,,,,,,,
303,2019-05-15 04:22:42,,,,,,,,
304,2019-05-15 05:15:33,2019-05-15 05:05:46,,,,,,,
305,2019-05-15 06:28:41,2019-05-15 06:21:54,,,,,,,
306,2019-05-15 06:42:11,,,,,,,,
307,2019-05-15 07:44:10,,,,,,,,
308,2019-05-15 07:59:52,,,,,,,,
309,2019-05-15 08:53:20,,,,,,,,
310,2019-05-15 10:09:57,2019-05-15 09:57:06,,,,,,,
311,2019-05-15 11:21:39,2019-05-15 11:15:59,,,,,,,
312,2019-05-15 12:30:27,,,,,,,,
313,2019-05-15 13:04:04,,,,,,,,
314,2019-05-15 13:32:40,,,,,,,,
315,2019-05-15 14:33:55,,,,,,,,
316,2019-05-15 15:42:12,2019-05-15 15:35:01,,,,,,,
317,2019-05-15 16:13:52,,,,,,,,
318,2019-05-15 16:46:36,,,,,,,,
319,2019-05-15 18:07:15,,,,,,,,
320,2019-05-15 18:40:55,,,,,,,,
321,2019-05-15 19:51:26,,,,,,,,
322,,2019-05-15 22:05:01,,,,,,,
323,2019-05-15 23:41:28,2019-05-15 23:22:28,,,,,,,
324,2019-05-16 00:47:18,,,,,,,,
325,2019-05-16 01:26:42,,,,,,,,
326,2019-05-16 02:07:26,,,,,,,,
327,2019-05-16 02:53:49,,,,,,,,
328,2019-05-16 03:54:44,2019-05-16 03:51:00,,,,,,,
329,2019-05-16 05:20:12,,,,,,,,
333,2019-05-16 08:49:43,,,,,,,,
334,2019-05-16 10:04:09,,,,,,,,
335,2019-05-16 11:21:35,,,,,,,,
336,2019-05-16 12:14:14,,,,,,,,
337,2019-05-16 13:06:22,2019-05-16 12:59:46,,,,,,,
338,2019-05-16 13:36:24,,,,,,,,
339,2019-05-16 14:12:02,,,,,,,,
340,2019-05-16 15:08:02,,,,,,,,
341,2019-05-16 16:09:33,2019-05-16 15:59:47,,,,,,,
342,2019-05-16 16:26:48,,,,,,,,
343,2019-05-16 17:05:59,,,,,,,,
344,2019-05-16 17:32:00,,,,,,,,
345,2019-05-16 18:16:15,,,,,,,,
346,2019-05-16 19:14:35,2019-05-16 19:06:49,,,,,,,
347,2019-05-16 20:15:55,2019-05-16 20:10:51,,,,,,,
348,2019-05-16 20:37:57,2019-05-16 20:33:13,,,,,,,
349,2019-05-16 21:12:18,2019-05-16 21:06:15,,,,,,,
350,2019-05-17 02:28:21,,,,,,,,
351,2019-05-17 03:08:34,2019-05-17 03:01:40,,,,,,,
352,2019-05-17 03:50:08,,,,,,,,
353,2019-05-17 05:06:23,,,,,,,,
354,2019-05-17 05:45:14,,,,,,,,
356,2019-05-17 07:48:25,,,,,,,,
357,2019-05-17 08:52:53,2019-05-17 08:43:38,,,,,,,
358,2019-05-17 11:14:08,2019-05-17 11:04:05,,,,,,,
359,2019-05-17 13:38:50,,,,,,,,
360,2019-05-17 14:14:36,,,,,,,,
361,2019-05-17 15:04:02,,,,,,,,
362,2019-05-17 15:53:06,,,,,,,,
363,2019-05-17 16:26:52,,,,,,,,
364,2019-05-17 17:25:26,,,,,,,,
365,2019-05-17 18:54:37,,,,,,,,
366,2019-05-17 19:38:09,,,,,,,,
367,2019-05-17 20:23:14,2019-05-17 20:21:02,,,,,,,
368,2019-05-17 20:46:39,,,,,,,,
369,2019-05-17 21:28:49,2019-05-17 21:21:58,,,,,,,
370,2019-05-17 22:01:45,,,,,,,,
371,2019-05-17 22:37:17,,,,,,,,
372,2019-05-17 23:14:48,,,,,,,,
373,2019-05-18 00:20:29,,,,,,,,
374,2019-05-18 01:19:32,,,,,,,,
379,2019-05-18 04:37:25,,,,,,,,
380,2019-05-18 05:45:04,,,,,,,,
381,2019-05-18 06:48:40,,,,,,,,
383,2019-05-18 07:48:57,2019-05-18 07:42:56,,,,,,,
384,2019-05-18 08:39:26,,,,,,,,
385,2019-05-18 09:31:03,,,,,,,,
386,2019-05-18 10:37:50,,,,,,,,
387,2019-05-18 11:34:43,,,,,,,,
388,2019-05-18 12:21:41,,,,,,,,
389,2019-05-18 13:07:55,2019-05-18 13:00:51,,,,,,,
390,2019-05-18 14:14:11,,,,,,,,
391,2019-05-18 15:19:24,,,,,,,,
392,2019-05-18 16:28:49,,,,,,,,
393,2019-05-18 16:55:42,,,,,,,,
394,2019-05-18 17:31:43,,,,,,,,
395,2019-05-18 18:06:40,,,,,,,,
396,2019-05-18 18:39:11,,,,,,,,
397,2019-05-18 19:10:06,,,,,,,,
398,2019-05-18 19:48:35,,,,,,,,
399,2019-05-18 20:14:12,,,,,,,,
400,2019-05-18 20:54:12,,,,,,,,
401,2019-05-18 21:38:01,,,,,,,,
402,2019-05-18 22:13:40,,,,,,,,
403,2019-05-18 23:00:00,,,,,,,,
404,2019-05-18 23:42:59,2019-05-18 23:36:29,,,,,,,
405,2019-05-19 01:41:09,2019-05-19 01:34:20,,,,,,,
406,2019-05-19 02:33:00,2019-05-19 02:27:14,2019-05-19 02:20:39,,,,,,
407,2019-05-19 03:10:25,2019-05-19 03:04:26,2019-05-19 02:57:29,,,,,,
408,2019-05-19 03:40:33,2019-05-19 03:36:53,,,,,,,
409,2019-05-19 04:11:32,2019-05-19 04:08:02,,,,,,,
410,2019-05-19 04:44:31,2019-05-19 04:39:57,,,,,,,
411,2019-05-19 05:21:08,2019-05-19 05:13:10,,,,,,,
412,2019-05-19 05:47:59,,,,,,,,
413,2019-05-19 06:39:58,2019-05-19 06:29:14,,,,,,,
414,2019-05-19 07:28:48,2019-05-19 07:21:08,,,,,,,
415,2019-05-19 08:09:51,2019-05-19 08:02:35,,,,,,,
416,2019-05-19 09:08:51,2019-05-19 08:56:42,,,,,,,
417,2019-05-19 10:18:03,2019-05-19 10:13:19,2019-05-19 10:05:03,,,,,,
418,2019-05-19 11:21:53,2019-05-19 11:16:06,2019-05-19 11:07:37,,,,,,
419,2019-05-19 11:57:53,,,,,,,,
420,2019-05-19 12:50:58,,,,,,,,
421,2019-05-19 13:47:02,2019-05-19 13:40:16,,,,,,,
422,2019-05-19 14:35:37,2019-05-19 14:23:03,,,,,,,
423,2019-05-19 15:21:03,2019-05-19 15:10:34,,,,,,,
424,2019-05-19 16:19:03,2019-05-19 16:11:40,,,,,,,
425,2019-05-19 17:13:14,,,,,,,,
426,2019-05-19 18:02:13,,,,,,,,
427,2019-05-19 19:24:04,,,,,,,,
428,2019-05-19 19:59:23,,,,,,,,
429,2019-05-19 20:43:44,,,,,,,,
430,2019-05-19 21:29:43,,,,,,,,
431,2019-05-19 22:00:14,,,,,,,,
432,2019-05-19 22:37:14,,,,,,,,
433,2019-05-19 23:04:57,,,,,,,,
434,2019-05-19 23:48:18,,,,,,,,
435,2019-05-20 00:54:57,2019-05-20 00:52:20,,,,,,,
436,2019-05-20 01:53:23,2019-05-20 01:48:43,,,,,,,
437,2019-05-20 02:52:20,2019-05-20 02:38:18,,,,,,,
438,2019-05-20 04:03:00,2019-05-20 04:00:26,,,,,,,
439,2019-05-20 04:49:40,,,,,,,,
440,2019-05-20 06:09:55,,,,,,,,
441,2019-05-20 06:45:01,,,,,,,,
442,2019-05-20 07:48:06,,,,,,,,
443,2019-05-20 08:12:17,2019-05-20 08:06:14,,,,,,,
444,2019-05-20 08:58:33,,,,,,,,
445,2019-05-20 10:31:14,2019-05-20 10:23:57,,,,,,,
446,2019-05-20 11:14:44,,,,,,,,
447,2019-05-20 12:01:43,2019-05-20 11:42:00,,,,,,,
448,2019-05-20 12:39:29,,,,,,,,
449,2019-05-20 13:20:49,2019-05-20 13:15:09,,,,,,,
450,2019-05-20 13:50:46,2019-05-20 13:40:40,,,,,,,
451,2019-05-20 15:06:54,2019-05-20 14:58:59,,,,,,,
452,2019-05-20 16:20:11,,,,,,,,
453,2019-05-20 17:40:42,2019-05-20 17:28:11,,,,,,,
454,2019-05-20 18:34:55,2019-05-20 18:24:16,,,,,,,
455,2019-05-20 19:19:29,2019-05-20 19:07:19,,,,,,,
456,2019-05-20 19:57:04,,,,,,,,
457,2019-05-20 21:03:59,,,,,,,,
458,2019-05-20 22:09:09,,,,,,,,
459,2019-05-20 22:54:06,,,,,,,,
460,2019-05-21 01:25:08,,,,,,,,
461,2019-05-21 02:07:22,,,,,,,,
462,2019-05-21 04:02:38,,,,,,,,
463,2019-05-21 04:48:03,,,,,,,,
464,2019-05-21 05:49:41,,,,,,,,
465,2019-05-21 06:48:53,2019-05-21 06:36:32,,,,,,,
466,2019-05-21 07:35:29,,,,,,,,
467,2019-05-21 08:12:30,,,,,,,,
468,2019-05-21 09:03:52,2019-05-21 08:46:00,,,,,,,
469,2019-05-21 09:32:52,,,,,,,,
470,2019-05-21 10:49:40,,,,,,,,
471,2019-05-21 11:35:00,,,,,,,,
472,2019-05-21 12:00:51,,,,,,,,
473,2019-05-21 13:12:02,2019-05-21 13:05:38,,,,,,,
474,2019-05-21 16:23:15,,,,,,,,
475,2019-05-21 17:27:25,2019-05-21 17:20:35,,,,,,,
476,2019-05-21 18:29:56,,,,,,,,
477,2019-05-21 19:30:36,,,,,,,,
478,2019-05-21 20:09:32,2019-05-21 20:00:55,,,,,,,
479,2019-05-21 21:25:26,2019-05-21 21:17:30,,,,,,,
480,2019-05-21 22:13:00,2019-05-21 22:04:47,,,,,,,
481,2019-05-21 22:55:38,,,,,,,,
482,2019-05-22 00:11:15,,,,,,,,
483,2019-05-22 01:12:54,,,,,,,,
484,2019-05-22 02:07:09,,,,,,,,
485,2019-05-22 03:10:29,,,,,,,,
486,2019-05-22 04:10:33,,,,,,,,
487,2019-05-22 05:02:41,,,,,,,,
488,2019-05-22 06:02:01,,,,,,,,
489,2019-05-22 07:03:36,,,,,,,,
490,2019-05-22 07:32:52,,,,,,,,
491,2019-05-22 08:22:14,,,,,,,,
492,2019-05-22 08:39:24,,,,,,,,
493,2019-05-22 09:24:11,,,,,,,,
494,2019-05-22 09:59:56,,,,,,,,
495,2019-05-22 10:49:42,,,,,,,,
496,2019-05-22 11:53:08,,,,,,,,
497,2019-05-22 12:34:03,,,,,,,,
498,2019-05-22 14:20:31,,,,,,,,
499,2019-05-22 15:10:02,,,,,,,,
500,2019-05-22 16:03:59,2019-05-22 15:56:21,,,,,,,
501,2019-05-22 16:48:02,2019-05-22 16:40:05,,,,,,,
502,2019-05-22 17:37:35,,,,,,,,
503,2019-05-22 19:17:17,,,,,,,,
504,,2019-05-22 20:00:50,,,,,,,
505,2019-05-22 21:11:00,2019-05-22 21:00:16,,,,,,,
507,2019-05-22 23:11:40,,,,,,,,
508,2019-05-23 00:34:53,,,,,,,,
509,2019-05-23 01:14:48,,,,,,,,
510,2019-05-23 01:49:37,,,,,,,,
511,2019-05-23 02:38:58,,,,,,,,
512,2019-05-23 03:04:00,2019-05-23 02:52:57,,,,,,,
513,2019-05-23 04:06:46,2019-05-23 03:56:35,,,,,,,
514,2019-05-23 05:04:26,,,,,,,,
515,2019-05-23 05:31:22,,,,,,,,
516,2019-05-23 06:11:14,,,,,,,,
517,2019-05-23 06:37:46,,,,,,,,
518,2019-05-23 07:07:50,,,,,,,,
519,2019-05-23 07:52:32,,,,,,,,
520,2019-05-23 08:45:06,2019-05-23 08:38:57,,,,,,,
